Rank,Released,Movie,Domestic Box Office,International Box Office,Worldwide Box Office
1,2019,Avengers: Endgame,"$858,373,000","$1,939,427,564","$2,797,800,564"
2,2021,Spider-Man: No Way Home,"$804,617,772","$1,081,688,244","$1,886,306,016"
3,2018,Black Panther,"$700,059,566","$636,434,755","$1,336,494,321"
4,2018,Avengers: Infinity War,"$678,815,482","$1,369,544,272","$2,048,359,754"
5,2012,The Avengers,"$623,357,910","$891,742,301","$1,515,100,211"
6,2008,The Dark Knight,"$533,720,947","$464,894,842","$998,615,789"
7,2015,Avengers: Age of Ultron,"$459,005,868","$936,311,111","$1,395,316,979"
8,2012,The Dark Knight Rises,"$448,139,099","$634,089,008","$1,082,228,107"
9,2019,Captain Marvel,"$426,829,839","$702,897,549","$1,129,727,388"
10,2017,Wonder Woman,"$412,563,408","$405,494,813","$818,058,221"
11,2022,Doctor Strange in the Multiverse of Madness,"$411,331,607","$541,008,645","$952,340,252"
12,2013,Iron Man 3,"$408,992,272","$806,400,000","$1,215,392,272"
13,2016,Captain America: Civil War,"$408,084,349","$743,834,172","$1,151,918,521"
14,2002,Spider-Man,"$403,706,375","$418,000,000","$821,706,375"
15,2019,Spider-Man: Far From Home,"$390,532,085","$742,000,747","$1,132,532,832"
16,2017,Guardians of the Galaxy Vol 2,"$389,813,101","$479,300,000","$869,113,101"
17,2004,Spider-Man 2,"$373,524,485","$421,173,072","$794,697,557"
18,2022,The Batman,"$369,345,583","$398,590,000","$767,935,583"
19,2016,Deadpool,"$363,070,709","$418,876,982","$781,947,691"
20,2007,Spider-Man 3,"$336,530,303","$558,329,927","$894,860,230"
21,2018,Aquaman,"$335,061,807","$808,696,893","$1,143,758,700"
22,2017,Spider-Man: Homecoming,"$334,201,140","$544,145,300","$878,346,440"
23,2014,Guardians of the Galaxy,"$333,714,112","$437,168,283","$770,882,395"
24,2016,Batman v Superman: Dawn of Justice,"$330,360,194","$542,034,897","$872,395,091"
25,2022,Thor: Love and Thunder,"$326,880,855","$394,632,543","$721,513,398"
26,2016,Suicide Squad,"$325,100,054","$420,644,926","$745,744,980"
27,2018,Deadpool 2,"$324,591,735","$461,770,635","$786,362,370"
28,2008,Iron Man,"$318,604,126","$266,567,421","$585,171,547"
29,2017,Thor: Ragnarok,"$315,058,289","$535,424,489","$850,482,778"
30,2010,Iron Man 2,"$312,433,331","$308,723,058","$621,156,389"
31,2013,Man of Steel,"$291,045,518","$376,954,000","$667,999,518"
32,2012,The Amazing Spider-Man,"$262,030,663","$495,859,604","$757,890,267"
33,2014,Captain America: The Winter Soldier,"$259,746,958","$454,654,931","$714,401,889"
34,1989,Batman,"$251,188,924","$160,160,000","$411,348,924"
35,2006,X-Men: The Last Stand,"$234,362,462","$224,898,484","$459,260,946"
36,2014,X-Men: Days of Future Past,"$233,921,534","$513,941,241","$747,862,775"
37,2016,Doctor Strange,"$232,641,920","$443,712,561","$676,354,481"
38,2017,Justice League,"$229,024,295","$426,920,914","$655,945,209"
39,2008,Hancock,"$227,946,274","$396,287,998","$624,234,272"
40,2017,Logan,"$226,277,068","$387,925,247","$614,202,315"
41,2021,Shang-Chi and the Legend of the Ten Rings,"$224,543,292","$207,700,000","$432,243,292"
42,2014,Big Hero 6,"$222,527,828","$425,887,196","$648,415,024"
43,2018,Ant-Man and the Wasp,"$216,648,740","$406,495,920","$623,144,660"
44,2003,X-Men 2,"$214,949,694","$191,398,936","$406,348,630"
45,2021,Venom: Let There be Carnage,"$213,550,366","$288,050,013","$501,600,379"
46,2018,Venom,"$213,511,408","$642,569,645","$856,081,053"
47,2013,Thor: The Dark World,"$206,362,140","$438,240,376","$644,602,516"
48,2005,Batman Begins,"$205,343,774","$153,514,350","$358,858,124"
49,2014,The Amazing Spider-Man 2,"$202,853,933","$506,142,403","$708,996,336"
50,2006,Superman Returns,"$200,120,000","$190,961,192","$391,081,192"
51,2014,Teenage Mutant Ninja Turtles,"$191,204,754","$293,800,000","$485,004,754"
52,2018,Spider-Man: Into The Spider-Verse 3D,"$190,173,195","$185,343,509","$375,516,704"
53,1995,Batman Forever,"$184,031,112","$152,498,032","$336,529,144"
54,2021,Black Widow,"$183,651,655","$196,100,000","$379,751,655"
55,2011,Thor,"$181,030,624","$268,295,994","$449,326,618"
56,2015,Ant-Man,"$180,202,163","$338,656,286","$518,858,449"
57,2009,X-Men Origins: Wolverine,"$179,883,157","$194,942,603","$374,825,760"
58,2011,Captain America: The First Avenger,"$176,654,505","$193,915,271","$370,569,776"
59,2021,Eternals,"$164,870,264","$237,194,665","$402,064,929"
60,1992,Batman Returns,"$162,833,635","$103,990,656","$266,824,291"
61,2000,X-Men,"$157,299,717","$139,572,650","$296,872,367"
62,2016,X-Men: Apocalypse,"$155,442,489","$387,095,057","$542,537,546"
63,2005,Fantastic Four,"$154,696,080","$178,436,670","$333,132,750"
64,2011,X-Men: First Class,"$146,408,305","$209,000,000","$355,408,305"
65,2019,Shazam!,"$140,371,656","$223,292,877","$363,664,533"
66,2008,The Incredible Hulk,"$134,806,913","$130,766,946","$265,573,859"
67,1978,Superman,"$134,218,018","$165,981,982","$300,200,000"
68,2013,The Wolverine,"$132,556,852","$283,900,000","$416,456,852"
69,2003,Hulk,"$132,177,234","$112,854,445","$245,031,679"
70,2007,Fantastic Four: Rise of the Silver Surfer,"$131,921,738","$157,558,953","$289,480,691"
71,1994,The Mask,"$119,920,129","$231,700,000","$351,620,129"
72,2011,Green Lantern,"$116,601,172","$102,934,320","$219,535,492"
73,2007,Ghost Rider,"$115,802,596","$113,742,993","$229,545,589"
74,1981,Superman II,"$108,185,706","$82,214,294","$190,400,000"
75,2009,Watchmen,"$107,509,799","$79,466,451","$186,976,250"
76,1997,Batman & Robin,"$107,325,195","$130,992,619","$238,317,814"
77,1990,Dick Tracy,"$103,738,726","$59,000,000","$162,738,726"
78,2003,Daredevil,"$102,543,518","$80,239,000","$182,782,518"
79,2011,The Green Hornet,"$98,780,042","$130,375,461","$229,155,503"
80,2000,Unbreakable,"$94,999,143","$153,100,000","$248,099,143"
81,2020,Birds of Prey (And the Fantabulous Emancipation…,"$84,158,461","$117,693,679","$201,852,140"
82,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,"$82,051,601","$163,276,773","$245,328,374"
83,2002,Blade 2,"$81,676,888","$72,661,713","$154,338,601"
84,2008,Hellboy II: The Golden Army,"$75,986,503","$84,401,560","$160,388,063"
85,2022,Morbius,"$73,793,072","$88,975,389","$162,768,461"
86,1998,Blade,"$70,141,876","$61,095,812","$131,237,688"
87,2003,The League of Extraordinary Gentlemen,"$66,465,204","$112,800,000","$179,265,204"
88,2019,Dark Phoenix,"$65,845,974","$180,510,921","$246,356,895"
89,2005,Sky High,"$63,939,454","$19,169,905","$83,109,359"
90,1983,Superman III,"$59,950,623","$20,249,377","$80,200,000"
91,2004,Hellboy,"$59,623,958","$40,200,000","$99,823,958"
92,2015,The Fantastic Four,"$56,117,548","$111,731,639","$167,849,187"
93,2021,The Suicide Squad,"$55,817,425","$111,302,807","$167,120,232"
94,2004,Blade: Trinity,"$52,397,389","$78,955,776","$131,353,165"
95,1994,The Crow,"$50,638,075","$456,231","$51,094,306"
96,2020,Wonder Woman 1984,"$46,801,036","$119,559,196","$166,360,232"
97,2004,Catwoman,"$40,202,379","$41,875,667","$82,078,046"
98,2004,The Punisher,"$33,664,370","$20,869,404","$54,533,774"
99,1990,Darkman,"$32,942,739",,"$32,942,739"
100,1994,The Shadow,"$31,835,600",,"$31,835,600"
101,1999,Mystery Men,"$29,762,011","$3,700,000","$33,462,011"
102,2008,Superhero Movie,"$26,638,520","$46,387,782","$73,026,302"
103,2005,Elektra,"$24,409,722","$32,414,911","$56,824,633"
104,2020,The New Mutants,"$23,855,569","$20,756,711","$44,612,280"
105,2006,My Super Ex-Girlfriend,"$22,530,295","$38,242,561","$60,772,856"
106,2019,Hellboy,"$21,903,748","$32,052,732","$53,956,480"
107,2008,The Spirit,"$19,806,188","$19,200,000","$39,006,188"
108,2009,Astro Boy,"$19,551,067","$22,085,176","$41,636,243"
109,2019,BrightBurn,"$17,259,427","$15,924,215","$33,183,642"
110,1996,The Phantom,"$17,220,599",,"$17,220,599"
111,1987,Superman IV: The Quest for Peace,"$14,522,355","$22,177,645","$36,700,000"
112,1984,Supergirl,"$14,296,438",,"$14,296,438"
113,2020,Boku no Hīrō Akademia The Movie Hīrōzu: Raijing…,"$13,553,826","$16,464,262","$30,018,088"
114,2006,Zoom,"$11,989,328","$516,860","$12,506,188"
115,2002,The Powerpuff Girls,"$11,411,644","$5,014,057","$16,425,701"
116,2020,Bloodshot,"$10,021,787","$27,299,294","$37,321,081"
